target_name,object_type,date,x_au,y_au,z_au,dist_from_sun_au
Mercury,planet,01/01/2025,-0.387303,-0.161724,0.022308,0.420305
Mercury,planet,01/06/2025,-0.344393,-0.275961,0.009036,0.44141
Mercury,planet,01/11/2025,-0.271816,-0.366695,-0.005035,0.456481
Mercury,planet,01/16/2025,-0.178061,-0.42905,-0.018731,0.464909
Mercury,planet,01/21/2025,-0.071186,-0.45991,-0.031055,0.466422
Mercury,planet,01/26/2025,0.040849,-0.457317,-0.041119,0.460975
Mercury,planet,01/31/2025,0.149724,-0.420278,-0.048079,0.448735
Mercury,planet,02/05/2025,0.246219,-0.348982,-0.051103,0.430144
Mercury,planet,02/10/2025,0.319674,-0.24552,-0.049385,0.406092
Mercury,planet,02/15/2025,0.357708,-0.115433,-0.042243,0.378238
Mercury,planet,02/20/2025,0.347011,0.029629,-0.029407,0.349513
Mercury,planet,02/25/2025,0.27712,0.168639,-0.011636,0.324608
Mercury,planet,03/02/2025,0.14924,0.271126,0.008468,0.309602
Mercury,planet,03/07/2025,-0.014226,0.307919,0.026468,0.309382
Mercury,planet,03/12/2025,-0.17473,0.270205,0.038108,0.324027
Mercury,planet,03/17/2025,-0.299024,0.174551,0.041691,0.348743
Mercury,planet,03/22/2025,-0.372424,0.048025,0.038084,0.377434
Mercury,planet,03/27/2025,-0.395101,-0.085769,0.02923,0.405359
Mercury,planet,04/01/2025,-0.374018,-0.210538,0.0171,0.429544
Mercury,planet,04/06/2025,-0.318003,-0.315971,0.003346,0.448302
Mercury,planet,04/11/2025,-0.235831,-0.395649,-0.010703,0.460727
Mercury,planet,04/16/2025,-0.135792,-0.445516,-0.023953,0.466366
Mercury,planet,04/21/2025,-0.025854,-0.462972,-0.035464,0.465047
Mercury,planet,04/26/2025,0.085939,-0.446453,-0.044367,0.456808
Mercury,planet,05/01/2025,0.190967,-0.395396,-0.049828,0.441915
Mercury,planet,05/06/2025,0.279488,-0.310636,-0.051021,0.420964
Mercury,planet,05/11/2025,0.340142,-0.195422,-0.047168,0.395109
Mercury,planet,05/16/2025,0.359964,-0.057387,-0.037706,0.366454
Mercury,planet,05/21/2025,0.326085,0.088366,-0.022687,0.338607
Mercury,planet,05/26/2025,0.231441,0.216544,-0.003532,0.316968
Mercury,planet,05/31/2025,0.085126,0.29512,0.01631,0.307584
Mercury,planet,06/05/2025,-0.082013,0.301107,0.032129,0.313726
Mercury,planet,06/10/2025,-0.230845,0.236839,0.040528,0.333203
Mercury,planet,06/15/2025,-0.335204,0.12538,0.040991,0.360225
Mercury,planet,06/20/2025,-0.387439,-0.006533,0.035002,0.389072
Mercury,planet,06/25/2025,-0.391324,-0.138237,0.024596,0.415751
Mercury,planet,06/30/2025,-0.354968,-0.256132,0.011626,0.437883
Mercury,planet,07/05/2025,-0.287297,-0.351716,-0.002392,0.454147
Mercury,planet,07/10/2025,-0.196892,-0.419676,-0.016238,0.463851
Mercury,planet,07/15/2025,-0.091877,-0.456626,-0.028889,0.466672
Mercury,planet,07/20/2025,0.019805,-0.460415,-0.039443,0.462526
Mercury,planet,07/25/2025,0.12994,-0.429869,-0.047048,0.451537
Mercury,planet,07/30/2025,0.22952,-0.364915,-0.050873,0.434086
Mercury,planet,08/04/2025,0.308191,-0.267201,-0.050104,0.410961
Mercury,planet,08/09/2025,0.353885,-0.141454,-0.044018,0.383642
Mercury,planet,08/14/2025,0.353305,0.002079,-0.032235,0.354778
Mercury,planet,08/19/2025,0.294941,0.144324,-0.015258,0.328713
Mercury,planet,08/24/2025,0.176941,0.256185,0.004707,0.311385
Mercury,planet,08/29/2025,0.017451,0.306814,0.023473,0.308205
Mercury,planet,09/03/2025,-0.146607,0.282449,0.036529,0.320321
Mercury,planet,09/08/2025,-0.279396,0.195664,0.041616,0.343625
Mercury,planet,09/13/2025,-0.362659,0.07292,0.039222,0.371991
Mercury,planet,09/18/2025,-0.394434,-0.060968,0.031195,0.400336
Mercury,planet,09/23/2025,-0.380903,-0.188365,0.019543,0.425382
Mercury,planet,09/28/2025,-0.330758,-0.298006,0.005983,0.445246
Mercury,planet,10/03/2025,-0.252846,-0.382879,-0.008099,0.458904
Mercury,planet,10/08/2025,-0.155545,-0.43857,-0.021574,0.465836
Mercury,planet,10/13/2025,-0.046859,-0.462251,-0.033478,0.465825
Mercury,planet,10/18/2025,0.065217,-0.45218,-0.042935,0.458872
Mercury,planet,10/23/2025,0.172215,-0.407588,-0.049104,0.445193
Mercury,planet,10/28/2025,0.264643,-0.328994,-0.051159,0.425312
Mercury,planet,11/02/2025,0.331471,-0.219078,-0.048306,0.400251
Mercury,planet,11/07/2025,0.35998,-0.084446,-0.039918,0.371901
Mercury,planet,11/12/2025,0.337007,0.061464,-0.025887,0.343543
Mercury,planet,11/17/2025,0.253709,0.195314,-0.007309,0.320264
Mercury,planet,11/22/2025,0.115339,0.285511,0.012754,0.308192
Mercury,planet,11/27/2025,-0.050956,0.305788,0.029663,0.31142
Mercury,planet,12/02/2025,-0.205804,0.253333,0.039579,0.328785
Mercury,planet,12/07/2025,-0.319579,0.148596,0.041455,0.354866
Mercury,planet,12/12/2025,-0.38153,0.018714,0.036523,0.383731
Mercury,planet,12/17/2025,-0.39393,-0.114257,0.026794,0.411039
Mercury,planet,12/22/2025,-0.364441,-0.235513,0.01418,0.434148
Mercury,planet,12/27/2025,-0.301973,-0.335762,0.000257,0.451579
Mercury,planet,01/01/2026,-0.215201,-0.409208,-0.013703,0.462548
Venus,planet,01/01/2025,0.453419,0.562216,-0.018441,0.722506
Venus,planet,01/08/2025,0.334785,0.639135,-0.01054,0.721585
Venus,planet,01/15/2025,0.203275,0.691466,-0.002233,0.72073
Venus,planet,01/22/2025,0.063922,0.717104,0.00616,0.719974
Venus,planet,01/29/2025,-0.077905,0.714972,0.014314,0.719346
Venus,planet,02/05/2025,-0.216704,0.685082,0.021913,0.718873
Venus,planet,02/12/2025,-0.347072,0.628542,0.028658,0.718572
Venus,planet,02/19/2025,-0.463922,0.547521,0.034288,0.718455
Venus,planet,02/26/2025,-0.562692,0.445163,0.038581,0.718527
Venus,planet,03/05/2025,-0.639543,0.325463,0.041372,0.718786
Venus,planet,03/12/2025,-0.691506,0.193096,0.042552,0.71922
Venus,planet,03/19/2025,-0.716609,0.053226,0.042079,0.719814
Venus,planet,03/26/2025,-0.713943,-0.08871,0.039976,0.720543
Venus,planet,04/02/2025,-0.683696,-0.227221,0.036328,0.72138
Venus,planet,04/09/2025,-0.627125,-0.356987,0.031281,0.722291
Venus,planet,04/16/2025,-0.5465,-0.473064,0.025034,0.723241
Venus,planet,04/23/2025,-0.444993,-0.57107,0.017831,0.724194
Venus,planet,04/30/2025,-0.326549,-0.647346,0.009949,0.725114
Venus,planet,05/07/2025,-0.195723,-0.699081,0.001689,0.725965
Venus,planet,05/14/2025,-0.0575,-0.724407,-0.006634,0.726715
Venus,planet,05/21/2025,0.082892,-0.722449,-0.014708,0.727337
Venus,planet,05/28/2025,0.220171,-0.69335,-0.022229,0.727808
Venus,planet,06/04/2025,0.349196,-0.638254,-0.028917,0.728109
Venus,planet,06/11/2025,0.465145,-0.559256,-0.034522,0.72823
Venus,planet,06/18/2025,0.563684,-0.459325,-0.038835,0.728167
Venus,planet,06/25/2025,0.641117,-0.342197,-0.041694,0.727921
Venus,planet,07/02/2025,0.694523,-0.212246,-0.04299,0.727502
Venus,planet,07/09/2025,0.721854,-0.074328,-0.042672,0.726924
Venus,planet,07/16/2025,0.72202,0.066384,-0.040749,0.72621
Venus,planet,07/23/2025,0.694937,0.204588,-0.037287,0.725386
Venus,planet,07/30/2025,0.641537,0.335041,-0.032414,0.724482
Venus,planet,08/06/2025,0.563754,0.452757,-0.026309,0.723533
Venus,planet,08/13/2025,0.46446,0.553192,-0.0192,0.722574
Venus,planet,08/20/2025,0.347376,0.632433,-0.011355,0.721644
Venus,planet,08/27/2025,0.216934,0.687349,-0.003074,0.720777
Venus,planet,09/03/2025,0.078123,0.715736,0.005325,0.720007
Venus,planet,09/10/2025,-0.06371,0.716411,0.013518,0.719365
Venus,planet,09/17/2025,-0.203068,0.689273,0.021186,0.718876
Venus,planet,09/24/2025,-0.334525,0.635322,0.02803,0.718559
Venus,planet,10/01/2025,-0.452951,0.556625,0.033782,0.718427
Venus,planet,10/08/2025,-0.553724,0.456234,0.038218,0.718484
Venus,planet,10/15/2025,-0.632921,0.338067,0.041164,0.71873
Venus,planet,10/22/2025,-0.687483,0.206739,0.042508,0.719153
Venus,planet,10/29/2025,-0.715333,0.067376,0.0422,0.719737
Venus,planet,11/05/2025,-0.715455,-0.0746,0.040257,0.720459
Venus,planet,11/12/2025,-0.687927,-0.213697,0.036757,0.721291
Venus,planet,11/19/2025,-0.633902,-0.344567,0.031842,0.7222
Venus,planet,11/26/2025,-0.555554,-0.462218,0.025705,0.72315
Venus,planet,12/03/2025,-0.45597,-0.562207,0.018586,0.724107
Venus,planet,12/10/2025,-0.339025,-0.640795,0.010758,0.725032
Venus,planet,12/17/2025,-0.209219,-0.695083,0.002523,0.725892
Venus,planet,12/24/2025,-0.071504,-0.723105,-0.005809,0.726655
Venus,planet,12/31/2025,0.068907,-0.723885,-0.013921,0.72729
Earth,planet,01/01/2025,-0.178683,0.966983,-5.1e-05,0.983353
Earth,planet,01/08/2025,-0.297418,0.937299,-5.3e-05,0.983355
Earth,planet,01/15/2025,-0.411565,0.893377,-5e-05,0.98362
Earth,planet,01/22/2025,-0.519487,0.835914,-4.3e-05,0.984184
Earth,planet,01/29/2025,-0.61957,0.765718,-3.8e-05,0.984983
Earth,planet,02/05/2025,-0.710227,0.683865,-3.7e-05,0.985948
Earth,planet,02/12/2025,-0.790102,0.591722,-3.1e-05,0.987115
Earth,planet,02/19/2025,-0.858127,0.490715,-2.1e-05,0.988526
Earth,planet,02/26/2025,-0.913333,0.38231,-1.4e-05,0.990121
Earth,planet,03/05/2025,-0.954868,0.268151,-1.2e-05,0.991805
Earth,planet,03/12/2025,-0.982186,0.150062,-4e-06,0.993583
Earth,planet,03/19/2025,-0.995053,0.029794,7e-06,0.995498
Earth,planet,03/26/2025,-0.993352,-0.090962,1.3e-05,0.997508
Earth,planet,04/02/2025,-0.977103,-0.210432,1.6e-05,0.999506
Earth,planet,04/09/2025,-0.946647,-0.326794,2.4e-05,1.001467
