target_name,object_type,date,x_au,y_au,z_au,dist_from_sun_au
Mercury,planet,01/01/1995,0.295948,-0.287136,-0.050622,0.415446
Mercury,planet,01/21/1995,0.202083,0.239764,0.001034,0.313569
Mercury,planet,02/10/1995,-0.351576,0.096598,0.040165,0.36681
Mercury,planet,03/02/1995,-0.268738,-0.369525,-0.005514,0.456945
Mercury,planet,03/22/1995,0.153519,-0.418219,-0.048254,0.448111
Mercury,planet,04/11/1995,0.34543,0.03517,-0.028837,0.348411
Mercury,planet,05/01/1995,-0.180308,0.267485,0.038401,0.32486
Mercury,planet,05/21/1995,-0.372567,-0.214853,0.016651,0.430401
Mercury,planet,06/10/1995,-0.02176,-0.462955,-0.035818,0.464848
Mercury,planet,06/30/1995,0.341644,-0.190568,-0.046928,0.394004
Mercury,planet,07/20/1995,0.078852,0.296764,0.017002,0.307531
Mercury,planet,08/09/1995,-0.388475,-0.011564,0.034716,0.390194
Mercury,planet,08/29/1995,-0.193283,-0.421599,-0.016695,0.464093
Mercury,planet,09/18/1995,0.232827,-0.361824,-0.050928,0.433265
Mercury,planet,10/08/1995,0.291461,0.149342,-0.014557,0.327817
Mercury,planet,10/28/1995,-0.283546,0.191526,0.041673,0.344698
Mercury,planet,11/17/1995,-0.328378,-0.301618,0.005507,0.44591
Mercury,planet,12/07/1995,0.069257,-0.451126,-0.043207,0.458452
Mercury,planet,12/27/1995,0.360065,-0.079034,-0.039508,0.370748
Mercury,planet,01/16/1996,-0.057321,0.30507,0.030181,0.311872
Mercury,planet,02/05/1996,-0.393594,-0.119038,0.026407,0.412048
Mercury,planet,02/25/1996,-0.10839,-0.453121,-0.027063,0.46669
Mercury,planet,03/16/1996,0.298092,-0.283821,-0.050547,0.414691
Mercury,planet,04/05/1996,0.197917,0.242691,0.001656,0.313166
Mercury,planet,04/25/1996,-0.35358,0.092613,0.040022,0.367693
Mercury,planet,05/15/1996,-0.266099,-0.371853,-0.005948,0.457295
Mercury,planet,06/04/1996,0.156711,-0.416496,-0.048406,0.447628
Mercury,planet,06/24/1996,0.344134,0.039652,-0.028351,0.347569
Mercury,planet,07/14/1996,-0.184737,0.265209,0.038621,0.325507
Mercury,planet,08/03/1996,-0.371272,-0.218406,0.016241,0.431054
Mercury,planet,08/23/1996,-0.018295,-0.462921,-0.036134,0.464689
Mercury,planet,09/12/1996,0.342888,-0.186578,-0.046715,0.393149
Mercury,planet,10/02/1996,0.073795,0.298002,0.017568,0.307505
Mercury,planet,10/22/1996,-0.38922,-0.015708,0.034445,0.391057
Mercury,planet,11/11/1996,-0.190202,-0.42318,-0.017108,0.464274
Mercury,planet,12/01/1996,0.235602,-0.359249,-0.050972,0.432627
Mercury,planet,12/21/1996,0.288616,0.153373,-0.013965,0.327135
Mercury,planet,01/10/1997,-0.286828,0.1881,0.041694,0.345529
Mercury,planet,01/30/1997,-0.32631,-0.304604,0.005072,0.446416
Mercury,planet,02/19/1997,0.07268,-0.450226,-0.043448,0.45812
Mercury,planet,03/11/1997,0.360135,-0.074595,-0.039151,0.369857
Mercury,planet,03/31/1997,-0.062434,0.304396,0.030595,0.312236
Mercury,planet,04/20/1997,-0.393214,-0.12299,0.026047,0.412822
Mercury,planet,05/10/1997,-0.105032,-0.453894,-0.027435,0.466695
Mercury,planet,05/30/1997,0.300215,-0.280459,-0.050467,0.413924
Mercury,planet,06/19/1997,0.193683,0.24558,0.002282,0.312775
Mercury,planet,07/09/1997,-0.355546,0.088603,0.039874,0.368583
Mercury,planet,07/29/1997,-0.263433,-0.374158,-0.006382,0.457637
Mercury,planet,08/18/1997,0.159905,-0.414725,-0.048555,0.447129
Mercury,planet,09/07/1997,0.34277,0.044167,-0.027855,0.346724
Mercury,planet,09/27/1997,-0.189155,0.262875,0.038836,0.326176
Mercury,planet,10/17/1997,-0.369948,-0.221941,0.015828,0.431706
Mercury,planet,11/06/1997,-0.014825,-0.462849,-0.036448,0.464519
Mercury,planet,11/26/1997,0.344096,-0.182546,-0.046496,0.392284
Mercury,planet,12/16/1997,0.068699,0.299177,0.018133,0.307498
Mercury,planet,01/05/1998,-0.389926,-0.019852,0.03417,0.391924
Mercury,planet,01/25/1998,-0.18711,-0.424728,-0.01752,0.464447
Mercury,planet,02/14/1998,0.238359,-0.356632,-0.051011,0.431977
Mercury,planet,03/06/1998,0.285699,0.157392,-0.013367,0.326458
Mercury,planet,03/26/1998,-0.290072,0.184642,0.041709,0.346373
Mercury,planet,04/15/1998,-0.324223,-0.307562,0.004637,0.446919
Mercury,planet,05/05/1998,0.076091,-0.449293,-0.043686,0.45778
Mercury,planet,05/25/1998,0.360151,-0.070145,-0.038788,0.368963
Mercury,planet,06/14/1998,-0.067541,0.303652,0.031004,0.312614
Mercury,planet,07/04/1998,-0.392798,-0.12693,0.025686,0.413596
